prompt,completion
Given chess position: 1n1q1bnr/r1p4p/p1k2p2/1pPppPp1/3P2b1/NQ5N/PP2P1PP/1RB1KBR1 b - - 4 11. What special moves are available? Answer:,none
Given chess position: rn1qkbnr/p1p1pp1p/1p6/1N1p2p1/2b5/1P3P2/PBPPP1PP/R2QKBNR w KQkq - 0 6. Is the move b2c1 legal? Answer:,legal
Given chess position: r1nqkbr1/2p2p2/np2b3/p2pp1p1/P2P2P1/4B2B/1PP1P2P/RNQK2NR w q - 1 13. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rn1qk2r/pppbb2p/5n2/3ppNp1/1PBP4/P3P2Q/2P2PPP/RNB1K2R b KQkq - 0 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: B1bk2r1/2pp1ppp/4pq1n/P1n4P/5PP1/2p5/P2BP2R/RN1QK1N1 b Q - 0 14. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bk1bnr/ppp4p/3pp3/5p1q/5N1P/1PPBP3/P2P1PP1/RNB1K2R b KQ - 0 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqk1nr/2ppp2p/2n2p2/pp3Pp1/1P2P2P/2b2N2/P1PP2P1/R1BQKB1R b KQkq - 0 8. What special moves are available? Answer:,"castling, en passant"
Given chess position: rn1qkbnr/pb1pppp1/1p6/1Np4p/8/N2PP3/PPPK1PPP/R1BQ1B1R b kq - 1 7. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqk2r/pppp2pp/2n2p1n/P1b1pP2/2P3PP/8/1PQPP3/RNB1KBNR w KQkq - 3 9. What special moves are available? Answer:,castling
Given chess position: r2k1bnr/pp2p3/n3b1pp/2qp1p2/3P1P1P/P1pQ2PN/1PPNPK2/R1B2B1R b - - 0 14. What special moves are available? Answer:,none
Given chess position: rnbqk2r/pppp2pp/4pp2/3P4/8/1Pn3bN/PB2PPPP/RN2KB1R b KQ - 3 11. What special moves are available? Answer:,castling
Given chess position: 2bqkr2/r1pppp2/2n2bNn/pp6/P1P1P2P/3B1p2/1P1P4/RNB1K1QR w KQ - 0 15. What special moves are available? Answer:,castling
Given chess position: r1b1kbnr/ppq2p1p/n1p5/1N1pp1p1/1P2P3/5PP1/P1PPK2P/R1BQ1BNR b kq - 2 7. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b2knr/ppppqp1p/2n3pb/8/3PpB1P/2Q1N2N/PPP1PPP1/R3KB1R w KQ - 0 11. Is the move c3c5 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1rbqkb1r/p1p1pp1p/np5n/3p2p1/1P1PP3/P4P1P/R1P3P1/1NBQKBNR b Kk - 0 7. Is the move g5g4 legal? Answer:,legal
Given chess position: r2qkbr1/1pp1pbp1/p1np4/5Q2/P1P1n2P/1P3P2/3P2P1/RNB1K1NR w KQq - 2 14. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1nrq1bkr/ppp1p1pp/3p1p1n/4Nb2/4P3/N5PP/PPPP1PB1/R1BQK2R w KQ - 5 10. What special moves are available? Answer:,castling
Given chess position: rnb1kbnr/pp1pp1pp/2p2p2/q5N1/3P1P2/1PP5/P2KP1PP/RNBQ1B1R b - - 2 8. What special moves are available? Answer:,none
Given chess position: rnbqk1nr/ppp2p2/3p4/4p1bp/P2PP3/2P3P1/1P3P1P/RN1QKBNR b KQkq - 0 8. What special moves are available? Answer:,"castling, en passant"
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r2k1b1r/1pq1p1pp/p1p2p2/1n1p3b/1P4n1/4PN2/P1PBBP1P/RNQK2R1 w - - 6 15. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1rb2b1r/ppp1kp1p/n3q3/P2pp1pn/4P1P1/1P1P1P1B/R1P1N2P/1NBQ1K1R b - - 1 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: 3q1bnr/1pp1pkpp/3p1p2/r4b2/2P3PP/4K2B/P3PP2/RNBQn1NR b - - 3 12. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1nb1kbnr/rpppq3/3p3p/p3P1p1/1P3p1P/3P4/P1PB1PP1/2RQKBNR w K - 1 12. What special moves are available? Answer:,castling
Given chess position: rnbqk1nr/2p3p1/3p3p/pp2pp2/1b3PP1/2PPP2N/PP1K3P/RNB1QB1R w kq - 0 9. What special moves are available? Answer:,castling
Given chess position: 1nb1kbnr/3p1pp1/1q5p/1Pp1p3/rp3PP1/7N/3PP2P/RNBQKB1R w KQk - 0 9. Is the move d1c2 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bq1bnr/2p1k1p1/pp1ppp1p/7P/1nPP4/2N4N/PP2PPP1/R1BQKBR1 w Q - 0 10. Is the move d1d3 legal? Answer:,legal
Given chess position: rnbqkbn1/1pp1pp1r/p2p3p/6p1/8/1PP2P1N/PBQPP1PP/RN1K1BR1 b q - 3 8. Is the move a8a7 legal? Answer:,legal
Given chess position: rnb1kb1r/pp1p1pp1/2p1p2p/1P1n2N1/2P5/B7/P1QPPPPP/RN2KB1R b KQkq - 0 8. What special moves are available? Answer:,castling
Given chess position: r1b1kbnr/pp1pp2p/n1p5/q4pp1/4P3/P5P1/1PPP1P1P/RNBQKBNR w KQkq - 1 6. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb1kbnr/1pp2p2/p2pp1pp/6q1/6P1/2PP1N1P/PP1BPPB1/RN1QK2R b KQkq - 1 7. Is the move a6a5 legal? Answer:,legal
Given chess position: rnb1kb1r/pp2np1p/2Qp4/2p1p1p1/6PP/3PP3/PBP1KP2/RN3BNR b kq - 2 8. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkbn1/1pppp1p1/r1n5/pN5p/4Pp1P/PPP5/1B1P1PPR/RN1QKB2 w Qq - 4 11. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn2kb1r/2q1p1pp/p1b2n2/1ppBB1p1/2P1P2P/NP4P1/P2P1P2/RQ2K2R w KQkq - 1 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2b1kbn1/2pn2pr/2rp1q2/ppP1pPQ1/7p/P4P1P/RP1PP3/1NB1KBNR b - - 6 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1k2r/ppp2p1p/3b2pn/2q1p1P1/8/5N1B/P1PPPP1P/R1BQK2R w KQkq - 5 11. Is the move d2d4 legal? Answer:,legal
Given chess position: rnbqkbnr/pppp4/5p2/1P2p1pp/4P3/7N/P1PPQPPP/RNBK1B1R b kq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqk1nr/1pppp2p/B4b2/5pp1/8/P3P3/1PPP1PPP/RNBQK1NR b KQkq - 0 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1rbqkbnr/pp1pp2p/5p2/1P4p1/1n1pPP2/2P1QN2/P4KPP/RNB2B1R w k - 2 13. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb2br1/2qknppp/2p1p3/p2P4/1p1P2P1/PP5N/R3PP1P/1N1QKB1R b K - 0 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1kb1r/p1pp1N1p/4ppp1/QP6/1nP4P/4nPP1/3PP2R/1qB1KB2 b kq - 0 13. Is the move e3d1 legal? Answer:,legal
Given chess position: r2q1b1r/p1pnkp2/b4n1p/Pp1ppB1p/3PPB1P/5PP1/1PP5/RN2K1NR b KQ - 0 11. Is the move c7c6 legal? Answer:,legal
Given chess position: rnbk1b1r/pp3p1p/4pq2/2p2n2/N2p2pP/P1BPP1P1/1PPK1P2/R2Q1BNR w - - 1 12. Is the move d1g4 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bk1b1r/pp1pp2p/n2q3n/2pP2p1/PP2P3/N4KpB/2PB1P1P/1R1Q2NR b - - 1 14. Is the move c5c4 legal? Answer:,legal
Given chess position: r1bqkb1r/1pp2pp1/2n4B/p3p3/1P1p2n1/2NP4/P1PKPPPP/2RQ1BNR b kq - 1 10. Is the move f8c5 legal? Answer:,legal
Given chess position: r1bqkbn1/p2p3r/2p1p2p/1p3pp1/1n4P1/3P1P1P/P1PQPB2/RN2KBNR b KQ - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r4knr/2p1p1b1/p1n2pp1/1p1q3p/5Pb1/3P3P/PPP2KP1/RNBB2NR w - - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1kb1r/1p4pp/p1ppp2n/P1n2p2/3Q3P/Nq3NPR/1PPP1P2/R1BK1B2 b kq - 2 15. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1b1kbnr/2pp4/B4qp1/1p1Ppp1p/1pN1PP1P/6P1/PBPQ4/R3K1NR b KQk - 3 13. What special moves are available? Answer:,castling
Given chess position: rnb1k3/ppqp1r2/2p1p2p/4Bpp1/P3P1n1/2N2P1B/P1PP3P/RN1Q1RK1 w q - 1 13. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1q1kr1/pb1p1p1p/P1p3p1/2b1p3/R1p1P3/2N3KP/1PQPN1P1/2B2B1R w - - 0 15. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqk1nr/pp1p2pp/n2b1p2/4P3/8/P1p1P1PP/1PP1NP2/R1BQKBNR w KQkq - 0 10. Is the move b2b3 legal? Answer:,legal
Given chess position: rnqk2N1/4pbbp/p1p3p1/3p1p2/Pp3P1P/NP4P1/1BPPP3/R1Q1KB1R w KQ - 1 16. Is the move a3c4 legal? Answer:,legal
Given chess position: rnb2b1r/pppqpkpp/5p1n/3p4/N1PP1B1P/8/PP2PPP1/R2QKBNR b KQ - 2 6. Is the move d7e6 legal? Answer:,legal
Given chess position: rnb1kbnr/p1pp1p2/1p3qpp/4p3/Q1P5/5BP1/PP1PPP1P/RNB1K1NR w KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkb1r/ppppppp1/5n2/7p/1n2P1P1/2NP4/P1P1NP1P/1RBQKB1R b Kkq - 4 7. What special moves are available? Answer:,castling
Given chess position: rnb2bn1/3p4/p1N1pppk/qp6/NP4Pr/P4P1p/2PPP2P/1RBQKB1R w K - 1 15. What special moves are available? Answer:,castling
Given chess position: r1b1kbnr/3qpppp/np6/p1pp4/1P3PQ1/N1P1P2P/P2P2P1/R1B1KBNR b KQkq - 2 7. Is the move a1h8 legal? Answer:,illegal
Given chess position: rq2kb1r/p1p4p/n2pb3/1pB2pp1/1PP1pP1P/4P1nR/P2P2P1/RNNQKB2 w Qkq - 0 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: r3k1nr/ppp3bp/2n1pp2/5P1p/Pq1p2P1/1P1P3b/2PQP1BP/RN2K1NR b kq - 0 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1nb1kbnr/2p2p2/r5pp/pp1Pp3/1P5q/N4NP1/P1PP1P1P/R1BQKB1R w KQk - 0 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnb1kbn1/1p6/1qppp1pB/p4p2/3PP2r/N4p1B/PPPQ4/R3K1NR b KQq - 1 13. What special moves are available? Answer:,castling
Given chess position: rnb3nr/ppqpk1b1/4pp2/2p3pp/P2P2P1/N1P1PP2/1P2B2P/R1BQK1NR w KQ - 4 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: r2qkb1r/p1pbpppn/1pn4p/1B1p3Q/8/1P1PP3/P1PK1PPP/RNB3NR b kq - 3 9. What special moves are available? Answer:,castling
Given chess position: r2qkbnr/p1ppp2p/np3pp1/3b4/5P1P/NQP5/PP1PP1PR/R1B1KBN1 w Qkq - 2 7. What special moves are available? Answer:,castling
Given chess position: r1b1kb1r/pp1pp1p1/n1p2n2/5p2/PP3qpP/R2P2P1/1B1N1P2/4KBNR w Kkq - 3 15. Is the move a1h8 legal? Answer:,illegal
Given chess position: r3kb2/ppp1ppp1/3q3r/2np3B/4P1b1/4PP1N/PPP1K1PP/R1BQ1NR1 b q - 2 15. Is the move c5b3 legal? Answer:,legal
Given chess position: rn1qkbnr/p1p1p2p/bp1p2p1/5p2/6P1/3PPP2/PPPNN2P/R1BQKB1R b KQkq - 1 6. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbk1b1r/pp2qp1p/2pp1n2/2P3pP/PP2p3/5N2/3PPPP1/RNBQKBR1 b - - 1 11. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r3kb1r/p2bp1p1/n1pp1p2/4P2p/1PP5/3P4/P2KP1BP/RNB3NR w k - 1 13. What special moves are available? Answer:,castling
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bq1k1r/pppppp1p/5b1n/4N1p1/P1N1P3/1P1P2PP/1P2QP1R/R1B1KB2 b Q - 2 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 1n3bnr/rpP1kpp1/4p2p/p1p5/b4PP1/4PB2/1PQP3P/RNB1K1NR b KQ - 3 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1b1kb1r/pp2qpp1/2ppp2p/1B1n3P/1P6/Pn2PN2/2PQ1PPR/RNB1K3 b Qkq - 0 13. Is the move e7c7 legal? Answer:,legal
Given chess position: 1rbq1knr/ppppppbp/2n5/6p1/1P6/5P1P/PBPPPKP1/RNQ2BNR w - - 7 7. What special moves are available? Answer:,none
Given chess position: r1bqkbnr/ppp1pp1p/3p2p1/8/2P3P1/3nP3/PP1PNP1P/RNBQKB1R w KQkq - 1 6. What special moves are available? Answer:,castling
Given chess position: rnb1kb1r/ppp2Npp/2q1pp1n/3p4/8/5PPN/PPPPP2P/R1BQKB1R b KQkq - 3 7. Is the move e8e7 legal? Answer:,legal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r1bq1bnr/2pk1ppp/3pp3/pp3Q2/3P1Pn1/P1P1P3/1P5P/RNB1KBNR w KQ - 0 9. Is the move g1h3 legal? Answer:,legal
Given chess position: rnbk1br1/pp2p1pp/2p2p2/5n2/PP3P2/2P1pN1P/3P2P1/RNBQ1K1R b - - 0 15. What special moves are available? Answer:,none
Given chess position: 1rbq1bnr/ppp1p1p1/2nk1p2/3p3p/3PPPP1/1PPQ3N/P6P/RNB1KB1R w KQ - 0 9. What special moves are available? Answer:,castling
Given chess position: rnb1kb1r/pp1ppp2/1q3npp/2p5/P1P5/2N1P2P/1P1PBPP1/R1BQK1NR b KQkq - 1 6. What special moves are available? Answer:,castling
Given chess position: 1rb2knr/p1p1bpp1/1p1pp2p/nP5Q/P2NP2P/2N5/RBPP1P1P/4KB1R w K - 5 13. What special moves are available? Answer:,castling
Given chess position: 2rqkbnr/p2bp3/1pp1Qp1p/6p1/1nNPp1PP/7N/PPP2P2/R1B1KB1R b k - 1 14. What special moves are available? Answer:,castling
Given chess position: rnq1kbnr/p1p2ppp/1p2b3/2Npp3/4P3/6P1/PPPP1P1P/R1BQKBNR w KQkq - 0 6. What special moves are available? Answer:,castling
Given chess position: r1bqkb1r/pp1pp1pp/2p2p2/8/PPB1P3/R2P4/2QPNPPP/1NB1KR2 b kq - 0 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbq1b1r/pppp1k1p/7n/6p1/1N6/1P1P1P2/P1P1BPPP/R2QK1NR w KQ - 2 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqkb1r/pp1pppp1/1nn4p/P7/1p4PP/8/1RPPPP2/1NBQKBNR w Kkq - 0 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: 1nq1k1nr/r2bp3/1p2P2b/p1pp1p1p/P2P1Pp1/4R1PP/1PPQ4/1NB1KBNR w Kk - 0 13. What special moves are available? Answer:,castling
Given chess position: 1nb1kb1r/1p1pqppp/2rP4/p1p2P2/8/NPPQ3P/P3P1PB/1R2KBNR w Kk - 1 15. What special moves are available? Answer:,castling
Given chess position: rn1qkbn1/pp3p2/2p1p2p/6r1/2pP3P/1N5b/PP2PPP1/1R1QKBNR w Kq - 0 16. Is the move g1h3 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1bqkb1r/1pppnp2/p1n5/1N2p1pp/QPP5/B4N2/P2PPPPP/1R2KB1R b Kkq - 3 8. What special moves are available? Answer:,castling
Given chess position: r2k1b1r/2ppq2p/b1n1pp1n/p1P3p1/p2P1BP1/5P1N/1P1QP2P/RN2KBR1 w Q - 3 12. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rnbqk2r/p1p2p1p/4p3/bp1p2p1/2n3P1/1P1PBP1P/P2NP3/1Q1RKBNR b Kkq - 2 14. What special moves are available? Answer:,castling
Given chess position: r2qkbnr/p1p1pp1p/n7/1p1p1bp1/PP4PP/2N1P3/2PP1P1N/R1BQKB1R b KQkq - 0 8. What special moves are available? Answer:,castling
Given chess position: r1bqkb1r/ppp1pp2/2np1n2/6pp/2PP3P/6P1/PP1NPPB1/RNBQKR2 b Qkq - 3 8. Is the move c8h3 legal? Answer:,legal
Given chess position: r1b1k1nr/1pn5/p1p1pq1p/3pp1p1/Pb3PP1/2NPP2P/1PPBR1B1/2R1K1N1 b q - 1 15. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqkb1r/p1ppp2p/5p1n/1p6/2P3p1/P4P2/1PQPP1PP/RNB1KBNR w KQkq - 0 6. Is the move b2b3 legal? Answer:,legal
Given chess position: 1nbqkb2/1p3pr1/r5pp/p1pp1n2/1PNP1p2/3KB3/P1P1P1PP/RQ1N1BR1 w - - 0 14. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: r2qkbnr/p2npp1p/1ppp2p1/1N6/1P2P1b1/5N2/P1PPQPPP/R1B1KB1R w KQkq - 2 10. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bq1bnr/p1pppkp1/1pnQ4/5p1p/7P/2P5/PP1PPPP1/RNB1KBNR w KQ - 0 6. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: 1rb1kbnr/p1qp1ppp/4p3/1ppn4/7P/NQP2P2/PP2PKP1/1RB2BNR w k - 4 12. Is the move a1h8 legal? Answer:,illegal
Given chess position: rnbqkb1r/2p2pp1/3pp3/1p5P/1P3n1P/Q1P2R2/P2PP3/RNB1KBN1 b Qk - 1 13. What special moves are available? Answer:,castling
Given chess position: r1bqk1n1/p1pnpp1r/7b/3p4/p2PNpp1/2P1P2P/1P1BNK2/R2Q1B1R b q - 3 13. Is the move a1h8 legal? Answer:,illegal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnb1k1nr/p1ppq3/5p1p/1p2p1pP/P3P1PR/b4N2/1PPP1P2/RNBQKB2 w Qkq - 1 10. Is the move c2c3 legal? Answer:,legal
Given chess position: rnb1kb1r/pppp1ppp/4p3/2n5/P3PqP1/7P/RPPP4/1NBQKBNR w Kkq - 0 7. Is the move b2b4 legal? Answer:,legal
Given chess position: 1rbqkbnr/p1p1ppp1/3p3p/1p5N/2Pn4/7P/PP1PPPP1/RNBQKBR1 w Qk - 0 7. Is the move a1h8 legal? Answer:,illegal
Given chess position: r1bqkb1r/p1p1pN2/np3n1p/3p2p1/P7/4P3/RPPPKPPP/1NBQ1BR1 b kq - 2 8. Is the move d8d7 legal? Answer:,legal
Given chess position: rn2kbnr/pppq1p2/7p/2P1p2B/1B2P1p1/1P1p1QPb/P2PNP2/RN2K2R b KQkq - 1 13. Is the move f8g7 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: r1n1kbr1/p1pq3R/b3p1p1/1p1PNp2/3P1PP1/6P1/PPP1Q3/RNB1KB2 w Qq - 1 14. What special moves are available? Answer:,castling
Given chess position: rnbq1k1r/pppp1p1p/8/b2np1p1/3PP3/3K1P2/PPP1B1PP/RNBQ2NR b - - 2 8. What special moves are available? Answer:,none
Given chess position: r2qkb1r/p1pp1ppp/bp5n/4p3/1n2P3/B1P5/P1QPKPPP/RN3BNR w kq - 2 7. What special moves are available? Answer:,castling
Given chess position: r1bqkbn1/pp2pppr/n1p5/1PPp4/3P1B2/PQ5B/4PP1R/RN2K1N1 b Qq - 1 12. What special moves are available? Answer:,castling
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
Given chess position: rn1qkb2/1ppbpppr/5n2/pB1p3p/P3P3/6P1/1PPP1P1P/RNBQK1NR b KQq - 0 7. What special moves are available? Answer:,"castling, en passant"
Given chess position: rnb1kb1r/pp1q1p2/4pn1p/P1pp2p1/1P2P3/5PPN/2PP3P/RNBQKBR1 b Qkq - 0 10. Is the move d7d8 legal? Answer:,legal
Given chess position: rq1k1bnr/ppp1p3/2B2p1p/2n3p1/1P1p4/P3P1P1/3P1P1P/RNBQK1NR w K - 0 14. Is the move c1b2 legal? Answer:,legal
Given chess position: 1rbq1bnr/pppp1k2/4ppp1/5PPp/Q1P2n2/P1N1P3/1P1P3P/R1B1KBNR b KQ - 1 12. Is the move f4d5 legal? Answer:,legal
Given chess position: 8/8/8/8/8/8/KP6/k7 w - - 0 1. What is the best move? Answer:,b2b4
Given chess position: rnbqk1nr/pp1pb1p1/2p1p2p/5p2/3BN2P/PP6/2PPPPP1/R2QKBNR w KQkq - 0 8. What special moves are available? Answer:,"castling, en passant"
Given chess position: r1b2bnr/1p1kpppp/nq6/p1pp1P2/7P/4P2R/PPPP2P1/RNBQKBN1 w - - 1 9. What special moves are available? Answer:,none
Given chess position: 2r3k1/5ppp/p7/8/8/4Q3/PPP2PPP/2K5 w - - 0 1. What is the best move? Answer:,e3e8
